Id,Label,Weight
151,mandibular,1
152,worker,4
77,applic,3
45,honey,2
132,abort,2
192,nectar,5
56,wax,1
114,feral,3
55,cholesterol,1
85,viabl,1
32,pla2,3
73,propoli,3
46,melipona,2
82,flower,14
104,ahb,1
348,clean,10
112,cytochrom,1
75,ethanol,1
76,insecticid,2
122,enzym,3
161,result,2
16,subunit,2
43,larva,9
145,membran,3
184,discrimin,1
249,survivorship,1
57,melittin,6
89,hive,8
148,dislodg,1
137,receptor,3
276,method,4
158,nativ,3
139,central,1
248,forag,5
81,inoculum,1
51,oocyt,1
86,techniqu,3
143,respons,3
144,compon,2
5,beekeep,5
10,png,1
40,orient,1
39,bar,1
165,olfactori,2
84,medium,2
120,hybrid,2
159,fauna,1
118,asymmetri,1
9,underwoodi,1
0,bermuda,1
123,gel,2
52,organ,4
277,variou,1
176,winter,4
177,year,4
106,drone,6
142,condit,5
186,cell,3
47,flavonoid,3
121,proteas,3
30,reaction,2
349,color,10
88,jacobsoni,2
105,brood,2
193,secret,3
149,respect,1
19,leg,3
87,infect,2
138,glutam,1
74,resin,1
29,desensit,2
146,peptid,2
207,odorantbind,1
131,visit,4
163,odour,2
160,pollin,9
206,protein,4
3,iggap,1
61,supersedur,3
31,venom,10
179,experi,3
54,sterol,3
183,odor,6
83,plot,2
42,ldh,2
185,gener,1
1,grass,1
62,swarm,7
164,pattern,4
350,trifolium,10
93,orientali,3
20,stimul,1
63,queen,12
119,femal,3
11,collect,3
4,igg4ap,1
113,strain,2
18,vibrat,1
53,mite,19
2,pollen,13
147,residu,3
44,egg,1
41,locat,3
178,radionuclid,1
