Id,Label,Weight
77,yield,3
38,genom,6
59,protein,10
99,social,3
29,bodi,3
169,drone,6
79,brain,3
8,varroa,3
80,methyl,4
98,forag,16
113,larva,10
92,sourc,3
107,floral,4
138,strain,3
44,infect,3
137,test,4
65,seed,4
51,sequenc,6
183,swarm,3
146,temperatur,3
81,dna,3
168,model,4
17,genet,6
114,immun,3
6,mite,9
76,comb,3
136,process,4
229,gland,4
43,cerana,5
49,haplotyp,3
67,queen,9
156,propoli,8
64,fruit,4
134,colour,3
93,pollen,13
53,nativ,4
182,sbv,5
231,natur,4
155,hive,6
66,visit,4
30,viru,5
26,chang,3
188,day,3
39,gene,14
90,brood,6
52,flower,10
54,pollin,12
160,assay,3
20,venom,3
62,worker,6
