Id,Label,weight
apis mellifera,apis mellifera, 1171
honeybee,honeybee, 308
honey bee,honey bee, 257
honey bees,honey bees, 243
varroa jacobsoni,varroa jacobsoni, 146
pollination,pollination, 123
varroa destructor,varroa destructor, 94
honeybees,honeybees, 92
foraging,foraging, 92
hymenoptera,hymenoptera, 67
apis,apis, 64
pollen,pollen, 60
insect,insect, 51
juvenile hormone,juvenile hormone, 47
apidae,apidae, 46
propolis,propolis, 45
learning,learning, 44
honey,honey, 44
american foulbrood,american foulbrood, 43
division of labor,division of labor, 43
