Id,Label,weight
apis mellifera,apis mellifera, 2183
honeybee,honeybee, 683
honey bee,honey bee, 527
honey bees,honey bees, 363
pollination,pollination, 295
varroa destructor,varroa destructor, 265
honeybees,honeybees, 218
foraging,foraging, 153
varroa jacobsoni,varroa jacobsoni, 147
pollen,pollen, 133
honey,honey, 130
hymenoptera,hymenoptera, 126
propolis,propolis, 114
insect,insect, 111
apis,apis, 105
social insects,social insects, 91
american foulbrood,american foulbrood, 89
apis cerana,apis cerana, 89
royal jelly,royal jelly, 89
bees,bees, 86
