Id,Label,Weight
299,hemolymph,2
138,beetl,2
105,semen,2
124,appl,3
147,landscap,2
96,maiz,4
319,csd,2
35,infect,2
57,royal,2
236,color,2
73,adulter,2
121,metal,3
351,melittin,2
135,thiamethoxam,2
119,algorithm,3
32,gst,2
186,green,2
270,068,5
320,allel,2
92,immun,3
58,larva,2
47,gland,3
283,channel,3
315,nachr,2
175,per,2
171,pollen,3
132,acaricid,3
271,ngg,5
144,cultiv,2
143,hungari,2
45,oil,3
272,loq,5
38,cotton,2
172,propoli,2
216,ahb,2
29,season,2
56,jelli,2
198,mixtur,2
156,decis,2
62,dwv,4
91,transcript,2
50,sperm,3
28,race,2
136,ngμl,2
52,insemin,2
305,line,2
201,uav,2
266,roof,2
152,ld50,2
249,nicotin,2
