chondroitin sulfate,1
tryptamine,1
Twisting of rhabdom,1
acetyl transferase,1
5-hydroxytryptamine,1
strain differences,1
hyaluronic acid,1
testes,1
Dorsal retina,1
Second order neurons,1
mutants,1
backcross,1
Ultraviolet receptors,1
Structural specialization,1
aggressiveness,1
haploidy,1
segregation,1
Microsomal enzyme inhibitor,1
norepinephrine,1
Worker bee, Apis mellifera,1
Fused rhabdom,1
Visual cells Apis mellifera,1
tryptophan → ommochrome pathway,1
Polarized light, detection,1
neurotransmitter,2
