Id,Label,Weight
121,bodi,5
7,bacteriorhodopsin,2
6,melittin,2
44,isol,3
36,cell,5
57,flower,11
60,growth,4
194,transmiss,96
195,aris,96
131,form,3
147,queen,5
165,phagostimul,4
139,wax,3
145,test,3
72,surfac,3
16,sexta,2
175,brood,3
116,cluster,3
80,temperatur,4
5,protein,9
115,time,3
30,mite,7
96,fruit,4
8,ratio,3
127,nectar,3
47,infect,3
34,tubul,3
100,insecticid,3
2,amino,2
110,gland,5
79,entranc,3
105,glomeruli,3
87,structur,3
123,pollen,11
15,lipophorin,2
84,correl,6
11,midgut,2
37,wave,3
78,cerana,3
193,twist,96
9,electrod,2
94,central,3
10,fungu,3
20,small,2
38,egg,4
81,hive,4
106,drone,6
17,fat,4
102,day,7
82,swarm,3
