Id,Label,Weight
99,amino,4
10,fibr,4
69,optic,3
40,stripe,5
103,acid,5
38,perhap,115
6,mite,2
57,inject,4
90,pupal,5
73,danc,3
31,entranc,4
51,naja,4
3,sting,2
36,eye,5
50,venom,10
39,lay,115
92,cerana,4
67,function,4
5,chamber,2
21,enzym,6
70,spore,3
107,electrophoresi,3
132,substanc,3
115,drone,3
116,queen,14
106,protein,5
54,screen,3
18,occur,3
8,adult,2
37,usual,115
29,comb,3
32,new,4
11,antenn,4
12,sensori,4
68,rhabdom,3
19,nad,2
42,pattern,5
109,mean,3
52,pigment,3
13,développ,2
35,visual,3
159,stage,4
16,mutant,3
30,less,4
15,est,2
7,infest,2
14,nombr,2
97,flight,3
149,dorsata,5
41,train,4
