Id,Label,Weight
2,vertebr,100
1,steroid,100
35,mite,3
28,collect,4
15,ball,2
11,season,3
40,cell,5
150,midgut,5
10,orchard,4
64,membran,3
9,fruit,4
24,honeyeat,2
80,coloni,3
146,probe,3
76,enzym,4
97,measur,3
5,light,5
21,der,3
82,forag,8
41,larva,7
18,jhiii,2
0,testosteron,100
166,effect,3
3,grade,2
12,viru,2
30,worker,5
17,queen,11
74,increas,4
133,glucos,3
19,bind,2
29,pollen,4
22,die,3
4,lneuron,3
96,estim,4
171,melipona,5
93,aggreg,3
26,flower,12
120,male,5
63,melittin,3
34,hive,8
149,infect,3
32,wl85871,3
98,correl,4
147,visit,3
83,purifi,4
42,immunoreact,3
25,nectar,13
31,applic,5
20,protein,5
95,phospholipas,3
