Id,Label,weight
apis mellifera,apis mellifera, 639
honeybee,honeybee, 152
honey bees,honey bees, 143
honey bee,honey bee, 131
varroa jacobsoni,varroa jacobsoni, 112
pollination,pollination, 58
hymenoptera,hymenoptera, 52
honeybees,honeybees, 50
foraging,foraging, 47
apis,apis, 44
apidae,apidae, 37
insect,insect, 34
pollen,pollen, 32
learning,learning, 28
mitochondrial dna,mitochondrial dna, 28
communication,communication, 24
africanized honey bees,africanized honey bees, 23
apis cerana,apis cerana, 22
nectar,nectar, 21
social insects,social insects, 21
