Id,Label,weight
apis mellifera,apis mellifera, 211
honeybee,honeybee, 65
honey bee,honey bee, 57
honey bees,honey bees, 50
hymenoptera,hymenoptera, 32
apidae,apidae, 28
pollination,pollination, 25
foraging,foraging, 23
apis,apis, 22
varroa jacobsoni,varroa jacobsoni, 18
honeybees,honeybees, 17
insect,insect, 15
pheromone,pheromone, 13
pollen,pollen, 12
bombus,bombus, 10
mitochondrial dna,mitochondrial dna, 10
apis mellifera l.,apis mellifera l., 9
queen,queen, 8
nosema apis,nosema apis, 8
behaviour,behaviour, 8
