Id,Label,Weight
33,visitor,3
164,contig,1
39,pollin,6
91,angustula,2
85,propoli,4
49,drone,4
63,vesicl,1
277,oxid,1
198,experi,3
64,gland,5
122,metabolit,1
23,infect,1
172,appli,1
191,polic,3
90,brazilian,2
14,area,4
174,period,3
26,semen,4
72,per,3
97,weight,1
43,pollen,10
98,collect,3
181,diet,3
180,hypopharyng,1
168,qtl,1
254,sucros,3
22,virus,1
83,kir,1
31,visit,5
16,transcript,1
82,channel,1
30,blueberri,1
21,viru,3
38,flower,17
62,secretori,1
46,cell,9
169,genet,3
148,coloni,3
84,current,3
233,pheromon,4
136,swarm,4
86,extract,2
235,establish,1
121,imidacloprid,6
12,highland,1
32,nectar,4
161,select,2
167,forag,16
138,head,1
87,antioxid,1
206,formic,3
163,gene,6
25,syring,1
47,brood,12
34,floral,2
137,mantl,1
105,protein,7
36,egg,4
13,south,1
173,tylosin,1
17,brain,9
253,respons,2
48,queen,21
75,african,5
73,compar,2
71,fruit,4
35,subfamili,1
0,transferrin,3
37,worker,12
53,seed,4
24,insemin,1
112,male,1
165,est,2
162,differ,3
146,guard,2
145,genotyp,3
45,comb,2
144,dna,2
7,destructor,1
2,sequenc,7
76,counti,1
107,function,3
92,group,7
207,hive,3
15,ancr1,1
147,marker,1
123,chronic,1
8,varroa,4
74,angel,1
106,genom,1
6,mite,15
96,load,1
113,larva,11
1,amtrf,3
278,cape,4
234,activ,2
