Id,Label,weight
apis mellifera,apis mellifera, 60
honey bee,honey bee, 26
honeybee,honeybee, 25
hymenoptera,hymenoptera, 13
apidae,apidae, 11
pheromone,pheromone, 9
honey bees,honey bees, 8
foraging,foraging, 6
apis mellifera l.,apis mellifera l., 5
apis,apis, 5
honeybees,honeybees, 4
pollination,pollination, 4
nasonov pheromone,nasonov pheromone, 4
insect,insect, 4
royal jelly,royal jelly, 3
cholesterol,cholesterol, 3
phospholipase a2,phospholipase a2, 3
isozymes,isozymes, 3
campesterol,campesterol, 3
scanning electron microscopy,scanning electron microscopy, 3
