2016-06-01	Food for pollinators: Quantifying the nectar and pollen resources of urban flower meadows	[(u'pollen', 0.027645307), (u'nectar', 0.011476726), (u'mellifera', 0.009550749), (u'apis', 0.008546731), (u'almond', 0.0073564583), (u'health', 0.005870974), (u'acid', 0.0057377988), (u'food', 0.005724429), (u'pesticides', 0.0056781676), (u'destructor', 0.0055582887)]	nectar used rewards 	[(u'pollen', 0.017525736), (u'colony', 0.008928886), (u'water', 0.007618182), (u'virus', 0.0067364927), (u'nectar', 0.006093321), (u'animal', 0.0059165717), (u'analysis', 0.0056913784), (u'population', 0.0051603527), (u'pesticide', 0.0048920996), (u'also', 0.0048629213)]	resource seed species 	
2016-05-31	Non-cultivated plants present a season-long route of pesticide exposure for honey bees	[(u'pollen', 0.021773588), (u'colony', 0.008488099), (u'pollens', 0.008007855), (u'colonies', 0.007992479), (u'acid', 0.007292583), (u'mite', 0.0072072665), (u'lipid', 0.006679005), (u'study', 0.0059757875), (u'varroa', 0.0059196465), (u'apis', 0.0056408937)]	highest contaminated foragers 	[(u'mellifera', 0.011229291), (u'exposure', 0.009618234), (u'apis', 0.009377419), (u'pollen', 0.009308713), (u'toxicity', 0.0082972245), (u'neonicotinoid', 0.0076553547), (u'virus', 0.0071597574), (u'colonies', 0.0069539575), (u'insecticides', 0.006587596), (u'neonicotinoids', 0.006554402)]	neonicotinoid pollen foraging 	[(u'pollinator', 0.013560322), (u'pollen', 0.012486665), (u'species', 0.011637688), (u'gene', 0.008170197), (u'protein', 0.007907462), (u'mellifera', 0.0077373045), (u'insect', 0.007701735), (u'apis', 0.0066482783), (u'crops', 0.0058931964), (u'l', 0.00568145)]	pollinator grown targeting 	
2016-05-07	MelissAR: Towards augmented visual analytics of honey bee behaviour	[(u'pollen', 0.0123076495), (u'colony', 0.010053794), (u'pesticides', 0.008562934), (u'mortality', 0.006595868), (u'pesticide', 0.006375788), (u'wild', 0.00550113), (u'population', 0.0053201206), (u'different', 0.0051458715), (u'method', 0.0051424233), (u'based', 0.0050407834)]	based support system 	
2016-05-01	The status of honey bee health in Italy: Results from the nationwide bee monitoring network	[(u'virus', 0.029371312), (u'colony', 0.014934211), (u'viruses', 0.009070738), (u'samples', 0.008608063), (u'colonies', 0.008506864), (u'pesticides', 0.008242878), (u'pesticide', 0.0077520595), (u'paralysis', 0.0075586913), (u'acute', 0.007131607), (u'study', 0.0067065526)]	colony samples hive 	[(u'pesticide', 0.009458167), (u'pollen', 0.009314741), (u'colony', 0.0084663285), (u'apis', 0.007956294), (u'health', 0.0071086055), (u'mellifera', 0.0067750723), (u'samples', 0.006761388), (u'virus', 0.006694997), (u'propolis', 0.006664971), (u'mortality', 0.0062173293)]	agricultural negative per 	[(u'virus', 0.015487592), (u'nosema', 0.0094652), (u'apis', 0.008920461), (u'health', 0.00786728), (u'varroa', 0.007283193), (u'colony', 0.0072431453), (u'mortality', 0.0070166527), (u'colonies', 0.006544562), (u'differences', 0.0062772785), (u'study', 0.006160692)]	mortality health prevalence 	
2016-05-01	Weakness and collapse of bee colonies in Brazil: Are there cases of CCD?	[(u'colonies', 0.019848578), (u'plants', 0.014784133), (u'wild', 0.014647515), (u'native', 0.010866696), (u'species', 0.008939725), (u'beekeepers', 0.008112083), (u'mellifera', 0.00794393), (u'health', 0.007629957), (u'apis', 0.0072621573), (u'pathogens', 0.006697019)]	collapse mainly pesticides 	
2016-05-01	Chronic toxicity and physiological changes induced in the honey bee by the exposure to fipronil and Bacillus thuringiensis spores alone or combined	[(u'exposure', 0.0097021395), (u'apis', 0.00790661), (u'effects', 0.00780383), (u'mellifera', 0.0071556624), (u'insecticides', 0.0070314705), (u'animal', 0.0069497502), (u'may', 0.006060716), (u'pesticides', 0.00575461), (u'colonies', 0.005301525), (u'control', 0.004867261)]	physiological enzyme effects 	
2016-05-01	Acute exposure to selenium disrupts associative conditioning and long-term memory recall in honey bees (Apis mellifera)	[(u'selenium', 0.015336236), (u'sublethal', 0.01301954), (u'learning', 0.011342662), (u'animal', 0.009567713), (u'memory', 0.009319537), (u'conditioning', 0.009267622), (u'effects', 0.008082351), (u'population', 0.008007344), (u'colony', 0.0075512026), (u'exposure', 0.0072463863)]	selenium exposure sublethal 	
2016-05-01	A toolbox for quantitative gene expression in varroa destructor: RNA degradation in field samples and systematic analysis of reference gene stability	[(u'expression', 0.013784927), (u'gene', 0.012177063), (u'varroa', 0.011272864), (u'genes', 0.009693015), (u'rna', 0.0077197314), (u'effects', 0.007308829), (u'animal', 0.005878295), (u'insecticides', 0.005821965), (u'reaction', 0.0057003116), (u'effect', 0.0056651393)]	gene genes expression 	
2016-05-01	Natural Varroa mite-surviving Apis mellifera honeybee populations	[(u'varroa', 0.0134966), (u'colonies', 0.01177024), (u'mite', 0.01098619), (u'thymol', 0.008527369), (u'mellifera', 0.007929379), (u'effects', 0.007910293), (u'pollen', 0.007868549), (u'study', 0.0077652466), (u'survival', 0.007293689), (u'larvae', 0.006535336)]	populations destructor survival 	
2016-05-01	Disease dynamics of honeybees with Varroa destructor as parasite and virus vector	[(u'colony', 0.014914079), (u'effects', 0.012756339), (u'animal', 0.010121121), (u'varroa', 0.009528464), (u'mites', 0.008688027), (u'virus', 0.008626962), (u'behavior', 0.008347662), (u'population', 0.007642518), (u'dynamics', 0.006651648), (u'study', 0.006560385)]	virus effects mites 	
2016-05-01	Multiyear survey targeting disease incidence in US honey bees	[(u'virus', 0.013442131), (u'nosema', 0.012846724), (u'colonies', 0.012435743), (u'mass', 0.011166708), (u'apis', 0.010559663), (u'mellifera', 0.009261076), (u'varroa', 0.0086668525), (u'spectrometry', 0.007853607), (u'analysis', 0.0069310246), (u'colony', 0.006719651)]	paralysis disease destructor 	
2016-05-01	Modulation of pesticide response in honeybees	[(u'effects', 0.012381932), (u'pesticides', 0.008987452), (u'study', 0.007980286), (u'genetic', 0.007805421), (u'environmental', 0.0072704144), (u'conditions', 0.006934596), (u'health', 0.006633722), (u'colony', 0.005838603), (u'studies', 0.0055489126), (u'mellifera', 0.00532166)]	environmental health factors 	
2018-02-15	A 3-year survey of Italian honey bee-collected pollen reveals widespread contamination by agricultural pesticides	[(u'pollen', 0.01973856), (u'health', 0.009960729), (u'analysis', 0.0070487377), (u'pesticide', 0.006504786), (u'apis', 0.0059244055), (u'study', 0.0056531774), (u'pesticides', 0.005549019), (u'mellifera', 0.005506605), (u'samples', 0.004898796), (u'species', 0.0048756674)]	pesticide samples pesticides 	
2018-02-14	Study of the metatranscriptome of eight social and solitary wild bee species reveals novel viruses and bee parasites	[(u'rnai', 0.016718933), (u'rna', 0.015098737), (u'insect', 0.012157467), (u'gene', 0.011922175), (u'virus', 0.009111963), (u'control', 0.0086742155), (u'insects', 0.0081931), (u'expression', 0.0077078845), (u'apis', 0.007483383), (u'mellifera', 0.0071512214)]	viruses species including 	
2018-02-08	Short-Term Exposure to Lambda-Cyhalothrin Negatively Affects the Survival and Memory-Related Characteristics of Worker Bees Apis mellifera	
2018-02-08	Effects of neonicotinoid imidacloprid exposure on bumble bee (Hymenoptera: Apidae) queen survival and nest initiation	[(u'colonies', 0.024932668), (u'crops', 0.012015729), (u'colony', 0.011245303), (u'exposure', 0.011182153), (u'varroa', 0.011086413), (u'population', 0.008963918), (u'mites', 0.007673974), (u'mite', 0.00661298), (u'study', 0.0062227193), (u'pesticide', 0.0060763448)]	bumble exposure spring 	[(u'pollen', 0.026818365), (u'nosema', 0.009460825), (u'exposure', 0.009269416), (u'pollination', 0.007284677), (u'effects', 0.0066355667), (u'diet', 0.006337884), (u'mellifera', 0.0058272686), (u'apis', 0.0055767065), (u'study', 0.005451265), (u'plants', 0.004749544)]	compared directly 	[(u'expression', 0.010129398), (u'colony', 0.008749891), (u'mellifera', 0.008410504), (u'study', 0.008251297), (u'gene', 0.008021889), (u'pollen', 0.006356913), (u'effects', 0.006190576), (u'imidacloprid', 0.0059927255), (u'apis', 0.005928306), (u'sublethal', 0.0059219054)]	imidacloprid nest queen 	
2018-02-01	The immunological dependence of plant-feeding animals on their host’s medical properties may explain part of honey bee colony losses	[(u'colonies', 0.019848578), (u'plants', 0.014784133), (u'wild', 0.014647515), (u'native', 0.010866696), (u'species', 0.008939725), (u'beekeepers', 0.008112083), (u'mellifera', 0.00794393), (u'health', 0.007629957), (u'apis', 0.0072621573), (u'pathogens', 0.006697019)]	wild causes without 	[(u'virus', 0.012658989), (u'colony', 0.0098072095), (u'pollen', 0.008316076), (u'iapv', 0.0081775235), (u'rna', 0.008113092), (u'reaction', 0.006048895), (u'polymerase', 0.005985854), (u'also', 0.0057330984), (u'pesticide', 0.0055855685), (u'paralysis', 0.00547708)]	properties dependence medicinal 	[(u'pollination', 0.013919913), (u'colony', 0.009875806), (u'control', 0.008734287), (u'mite', 0.008192717), (u'brood', 0.0070203934), (u'mites', 0.00676743), (u'pollinator', 0.00670444), (u'varroa', 0.0064663165), (u'states', 0.0060964585), (u'pollinators', 0.0058403634)]	research 	
