Source,Destination,Weight
100,111,1
100,116,7
100,107,8
100,113,2
100,108,1
100,104,6
100,114,6
100,140,1
100,124,1
100,131,4
100,144,2
100,126,1
100,109,1
100,105,1
100,117,2
101,104,2
101,142,1
101,124,2
101,108,1
101,105,1
101,140,1
101,113,1
101,117,2
102,124,3
102,142,1
102,111,1
102,145,1
102,149,1
102,113,1
102,110,1
103,146,1
103,136,1
103,127,1
103,106,2
103,118,9
104,124,2
104,131,1
104,108,1
104,111,2
104,114,2
104,105,2
104,101,2
104,122,1
104,117,1
104,100,6
105,124,1
105,108,26
105,100,1
105,101,1
105,104,2
106,146,1
106,103,2
106,148,1
107,100,8
108,105,26
108,100,1
108,101,1
108,104,1
109,131,1
109,112,1
109,113,1
109,100,1
110,102,1
111,102,1
111,124,1
111,100,1
111,104,2
112,113,1
112,109,1
113,102,1
113,112,1
113,109,1
113,117,1
113,101,1
113,100,2
114,124,2
114,100,6
114,104,2
115,131,1
116,100,7
117,140,2
117,142,1
117,113,1
117,100,2
117,104,1
117,101,2
118,103,9
120,133,1
120,138,4
120,125,1
121,123,8
122,139,1
122,104,1
122,141,1
123,121,8
124,102,3
124,142,1
124,114,2
124,111,1
124,100,1
124,104,2
124,101,2
124,105,1
125,120,1
126,100,1
127,103,1
130,141,1
131,109,1
131,100,4
131,104,1
131,133,1
131,115,1
133,120,1
133,131,1
136,103,1
138,120,4
138,145,1
139,122,1
140,146,1
140,117,2
140,100,1
140,101,1
141,130,1
141,122,1
142,102,1
142,124,1
142,117,1
142,101,1
144,100,2
145,102,1
145,149,2
145,138,1
146,140,1
146,103,1
146,106,1
148,106,1
149,102,1
149,145,2
