Id,Label,Weight
95,humid,2
50,ovari,4
347,mellifica,2
56,spatial,2
107,drone,2
20,stingless,2
499,venom,2
90,pollen,2
1,cry2a,1
79,brain,2
3,inst,1
157,neonicotinoid,3
116,color,2
196,winter,3
542,reward,2
273,scheme,2
561,box,2
194,hive,2
484,antioxid,2
124,eusoci,3
2,sbti,1
15,safeguard,2
275,sleep,2
0,cry1c,1
238,defens,2
458,stock,2
563,soybean,2
301,geopropoli,2
99,spent,2
4,pomolog,1
77,nectar,3
219,bind,2
178,swarm,3
145,competit,2
140,pollut,2
234,allel,2
135,propoli,5
160,forag,3
246,male,3
152,spore,3
237,melittin,3
87,mice,2
171,small,2
5,floricultur,1
264,tra,2
134,inject,2
448,hpg,2
409,mirna,2
351,eric,3
61,powder,2
