Id,Label,Weight
19,insecticid,5
15,flower,12
64,forag,12
16,pollin,10
44,pollen,20
127,region,3
116,reduc,3
143,mortal,4
145,coloni,5
132,imidacloprid,4
38,gene,13
233,male,3
113,group,3
10,visit,5
114,winter,3
30,bacteri,2
82,venom,4
146,day,4
160,queen,9
48,infect,5
50,cerana,8
6,mite,8
124,cell,4
40,sequenc,3
43,worker,6
159,drone,5
25,hive,3
8,varroa,10
46,genet,7
194,sugar,3
28,fruit,3
211,nativ,4
115,immun,6
23,beebread,2
167,toxic,4
49,parasit,4
29,gut,2
62,trap,3
56,brain,3
39,genom,3
103,protein,7
18,ngbee,2
228,temperatur,4
22,larva,6
31,commun,4
191,defens,3
80,nectar,3
74,neonicotinoid,7
11,floral,4
51,propoli,7
