Id,Label,Weight
110,light,3
92,commun,4
60,per,4
129,hill,1
128,yellow,3
194,affect,2
140,nicotin,2
127,morph,1
177,behaviour,4
105,beetl,4
106,thuringiensi,1
75,cell,6
52,melatonin,1
136,genet,3
40,mite,5
115,parasit,4
231,dwv,2
59,destructor,1
134,differ,3
100,beekeep,3
49,protein,7
39,fumig,1
12,midlin,1
156,cerana,5
220,gland,5
150,spider,2
174,visual,3
90,habitat,3
123,queen,8
86,coloni,8
189,year,3
28,ant,2
34,receptor,7
71,hormon,1
122,reproduct,2
13,ventral,1
175,flight,2
207,categor,1
230,ovari,3
131,behavior,2
224,sow,1
113,transmiss,2
205,stimuli,3
222,seed,3
190,area,2
41,treatment,1
80,array,1
45,drosophila,4
21,sequenc,2
76,tnfα,1
133,stingless,2
310,mark,1
101,nectar,9
151,predat,3
35,activ,2
178,collect,2
198,island,3
193,nest,4
199,nativ,1
162,forag,10
54,male,4
27,tangletrap,1
26,venom,8
130,syndrom,2
24,api,1
155,gst,1
99,will,1
57,pollen,13
82,compar,3
147,remov,1
107,hive,6
74,abv,1
22,genom,3
29,fire,2
73,worker,12
109,radiat,1
58,pollin,2
142,ppm,1
91,grove,1
182,scent,2
135,content,2
153,restrict,1
126,individu,2
23,gene,15
51,cape,6
206,transfer,2
98,sting,4
84,virul,1
311,propoli,3
81,order,2
176,speed,2
85,haplotyp,1
50,emr,1
148,larva,12
223,imidacloprid,1
161,group,5
221,branch,1
114,bombi,1
56,flower,14
53,imprint,1
141,toxic,3
33,akh,1
108,intens,1
72,juvenil,1
125,social,2
14,pattern,6
55,diploid,2
154,region,3
25,recombin,3
