Id,Label,weight
apis mellifera,apis mellifera, 145
honeybee,honeybee, 51
honey bee,honey bee, 45
honey bees,honey bees, 29
hymenoptera,hymenoptera, 28
apidae,apidae, 25
pollination,pollination, 17
apis,apis, 15
honeybees,honeybees, 13
insect,insect, 13
foraging,foraging, 12
pheromone,pheromone, 11
apis mellifera l.,apis mellifera l., 9
varroa jacobsoni,varroa jacobsoni, 8
bombus,bombus, 7
bacillus larvae,bacillus larvae, 6
nosema apis,nosema apis, 6
age,age, 6
scanning electron microscopy,scanning electron microscopy, 5
drone,drone, 5
