Label,weight
apis mellifera (insecta), 2
central nervous system, 2
immunocytochemistry, 2
foraging strategy, 1
intercellular junction, 1
pollination by bees, 1
vitellogenin, 1
sensilla, 1
morphology, 1
insecta, 1
hierarchical cluster analysis, 1
color vision, 1
brood, 1
glia-like cells, 1
homeobox sequence, 1
honey bee feeding, 1
majorana syriaca, 1
electromyograms, 1
mandibular gland secretions, 1
body-size variance, 1
