Id,Label,Weight
5,attract,3
37,model,3
30,nonhygien,3
31,behaviour,5
180,protein,5
25,sequenc,6
127,coloni,14
70,posit,3
58,pump,3
264,6fold,35
125,brood,4
49,day,6
220,drone,4
34,remov,3
35,acrosom,3
19,visit,9
65,venom,4
134,worker,6
71,drosophila,4
61,system,3
69,codon,3
16,pollen,9
32,groom,3
161,african,5
114,differ,4
2,forag,8
29,hygien,3
163,colour,8
189,queen,10
111,flower,18
115,danc,4
12,mite,9
208,pla2,4
83,cycl,4
62,organ,3
75,cell,11
23,tnf‐beta,3
41,associ,3
53,natal,3
164,fig,5
149,gland,4
36,complex,3
48,visitor,3
57,photoreceptor,4
46,mtdna,3
15,ctn,3
117,nectar,6
262,travel,35
263,1988,35
151,signal,5
