Id,Label,Weight
25,optic,4
37,acetylcholin,4
171,produc,3
44,pollen,4
87,radiolabel,3
55,pore,3
56,variat,3
68,acarapi,3
41,glucos,3
172,sound,3
110,pheromon,4
24,medulla,3
47,worker,10
36,light,12
60,pattern,3
1,differenti,86
95,color,6
174,african,5
148,infest,3
67,bumblebe,3
59,tenax,3
27,crotoxin,3
86,receptor,3
88,metabol,10
157,frequenc,4
120,similar,3
45,sterol,4
96,discrimin,5
9,azadirachtin,3
38,assay,3
154,temperatur,5
31,action,4
33,potenti,3
39,content,4
2,intermedi,86
66,visit,4
34,δqo2,3
169,air,3
29,phospholipas,4
116,attract,3
46,queen,5
164,stimulu,3
30,lneuron,4
0,dissimilar,86
40,poison,3
124,flower,6
28,venom,6
180,forag,6
70,biolog,3
93,swarm,6
