Id,Label,Weight
32,flower,3
37,black,2
135,appl,2
249,forew,2
247,heat,2
92,larva,3
1,etholog,35
47,adjuv,2
162,countri,2
54,foxp,2
0,entomophil,35
123,larval,2
180,metal,3
179,morpholog,2
250,midgut,2
38,queen,3
137,social,2
158,variat,2
129,metabol,2
203,servic,2
2,corrobor,35
77,mite,2
113,scale,2
245,assay,2
116,bind,2
242,qualiti,2
76,parasit,3
343,venom,3
197,dsc,2
196,compressip,2
118,oilse,2
235,motor,2
195,melipona,2
333,nectar,3
112,devic,2
209,stingless,2
266,rear,2
45,organosilicon,2
220,mate,2
100,eleph,2
248,temperatur,2
190,pheromon,2
202,lactobacillu,2
206,subspeci,2
46,surfact,2
142,berri,2
204,grower,2
87,plantarum,2
165,sucros,3
262,virus,3
