Id,Label,Weight
67,sensori,2
177,size,3
112,isol,3
286,feedback,2
113,oil,3
350,landmark,2
178,inhibit,2
180,melittin,2
315,ld50,13
69,amino,2
327,mgr,2
131,stock,2
103,afb,2
147,hygien,2
317,whilst,13
138,landscap,2
54,iapv,2
92,phenol,3
28,maze,2
27,ccri41,2
130,russian,2
41,morphometr,2
170,peptid,2
133,pollen,2
162,patient,2
96,supplement,3
125,outcross,2
141,larva,2
233,nest,2
43,spider,2
127,neuron,2
132,certif,2
366,healthi,2
150,acid,2
109,danc,2
186,beeswax,2
137,spatial,2
232,flow,3
283,sucros,2
11,cotton,3
90,propoli,4
311,nachr,2
65,methyl,5
172,reproduct,2
169,venom,4
318,dopamin,2
23,kuehniella,2
102,mic,2
316,4day,13
143,haplotyp,2
