Id,Label,Weight
40,indica,2
107,pollen,4
261,sinens,2
32,fluid,2
56,flora,2
95,larval,2
309,pollenhoard,2
23,brill,13
77,ester,2
371,turkey,2
45,coumapho,2
269,length,2
61,drosophila,2
38,queen,3
37,mate,2
68,cell,5
257,venom,2
313,cotton,2
34,channel,3
101,methyl,2
150,egg,3
129,metal,2
31,sperm,4
111,vibrat,3
148,drone,5
125,repel,2
21,endoplasm,13
337,sucros,2
152,propoli,2
375,reward,2
117,nov,2
14,beeswax,2
22,duct,13
83,invas,2
348,trap,3
333,sting,2
213,flight,2
39,azadirachta,2
33,ttx,2
162,cycl,2
188,conflict,2
18,mite,2
102,100,2
25,yucatán,2
278,global,2
401,nachr,2
384,fight,2
256,box,2
187,patrilin,3
403,bqcv,2
