Id,Label,Weight
108,alnu,3
47,vitellogenin,3
61,flower,14
203,local,3
111,sugar,6
72,seed,4
39,site,3
70,day,5
96,larva,6
27,choic,3
283,group,5
62,varroa,6
127,capensi,5
133,gene,4
28,servic,3
45,mite,23
120,sequenc,3
125,signal,3
15,amount,3
57,cape,3
128,cell,6
211,extract,3
71,pollin,5
82,drone,8
43,worker,20
170,task,3
210,propoli,4
90,parasit,5
0,ngf,3
63,olfactori,3
165,danc,8
106,ehb,3
100,forag,14
46,brood,12
1,cobra,3
6,venom,3
41,egg,7
110,damag,3
115,landmark,4
157,spray,3
64,neuron,4
123,discrimin,3
217,varieti,3
155,odor,5
44,ahb,5
40,inform,4
209,african,3
12,queen,9
102,visit,3
103,pollen,17
