Id,Label,Weight
253,1991,7
66,kg1,3
157,methyl,2
242,melittin,2
26,viru,2
18,pee,2
211,mirna,2
35,oocyt,3
156,pesticid,2
298,honey,2
205,thiamethoxam,2
292,sbv,3
295,danc,3
47,mite,2
85,cap,2
96,ileum,2
165,queen,2
187,enzym,2
280,ant,3
254,wolbachia,7
134,chalkbrood,2
98,dysbiosi,2
78,cry1i,2
127,nectar,2
180,flight,4
139,iapv,2
207,ahb,4
179,landscap,2
184,haplotyp,2
115,fluid,2
232,variant,3
108,sunflow,2
84,grapevin,2
86,remov,2
149,gene,2
14,dorsal,2
204,forag,2
132,antioxid,2
8,cbpv,2
135,resist,2
200,disturb,2
75,lineag,2
136,snp,3
183,system,2
195,strain,2
112,brain,2
255,patholog,7
23,durat,2
20,propoli,6
218,coffe,3
