Id,Label,Weight
116,venom,7
73,swarm,4
65,neuron,3
4,chromosom,3
133,comb,4
37,dorsal,5
156,melittin,4
154,behaviour,4
10,hybrid,3
76,predomin,31
26,model,4
98,flight,4
70,landmark,5
63,forag,14
189,group,4
75,brood,5
132,wax,3
94,mite,14
190,area,4
101,flower,13
60,hormon,4
36,motoneuron,5
130,deposit,4
67,european,5
25,filament,3
95,day,3
35,cell,18
78,western,31
44,serotonin,3
222,climat,4
68,african,7
31,composit,3
147,queen,8
50,colour,3
41,antenn,3
3,probe,3
72,distanc,3
84,pollen,14
33,offspr,3
24,translat,3
103,strain,5
153,nectar,4
77,spanish,31
109,larva,3
47,pka,5
146,worker,4
46,octopamin,3
61,juvenil,4
136,remov,6
34,drone,7
