Id,Label,Weight
20,process,2
19,divis,3
43,given,2
48,abdomin,4
10,room,2
9,drift,2
49,yellow,4
38,rbc,2
58,nucleotid,3
42,among,3
90,fraction,3
89,cell,8
72,diseas,3
135,pipe,4
122,pigment,3
74,coloni,4
6,hydrocarbon,3
91,extract,3
45,concentr,2
32,thuringiensi,2
60,queen,7
37,affect,2
51,comb,4
23,differ,3
141,acaricid,136
78,male,6
27,cuticular,2
30,carbon,2
81,organ,3
50,black,4
132,hour,3
28,replic,3
142,suscept,136
7,synthesi,2
8,determin,3
34,crystal,3
44,pollen,2
121,form,3
140,weigh,136
97,enzym,5
106,larva,6
39,venom,3
41,menthol,3
18,centriol,4
80,action,3
35,catecholamin,2
52,mellonella,3
70,line,5
131,spore,4
92,bodi,3
