Id,Label,Weight
14,varroa,4
98,nectar,3
83,toxic,4
155,mw·g1,3
140,beekeep,3
182,light,4
128,temperatur,7
161,bodi,3
142,african,4
183,ca2o,3
3,children,3
24,infloresc,4
99,forag,10
145,day,5
153,flower,3
180,size,3
124,organ,3
132,evalu,3
15,die,4
2,immatur,71
129,antibodi,4
22,der,6
126,differenti,3
45,filament,3
125,castespecif,3
55,motoneuron,3
105,neuron,5
4,reaction,3
26,predat,3
42,wasp,3
144,gland,3
73,heat,7
0,für,71
103,danc,3
184,chang,3
97,coloni,7
106,immunoreact,4
1,den,71
104,vibrat,3
164,cell,3
141,region,3
232,subordin,3
116,queen,11
75,worker,8
59,protein,6
85,color,5
172,gene,4
127,hive,3
74,group,3
178,pattern,3
