Id,Label,weight
insect cholinesterase,insect cholinesterase, 1
bees and biogenic amines,bees and biogenic amines, 1
isozymes,isozymes, 1
acetylcholinesterase,acetylcholinesterase, 1
apis mellifera,apis mellifera, 1
dopamine dopa and norepinephrine in bees,dopamine dopa and norepinephrine in bees, 1
catecholamines in bees,catecholamines in bees, 1
hexagema bilineata,hexagema bilineata, 1
molecular properties of cholinesterase,molecular properties of cholinesterase, 1
aggregation of cholinesterase,aggregation of cholinesterase, 1
cholinesterase,cholinesterase, 1
