Id,Label,Weight
49,mite,24
68,forag,18
89,worker,12
94,varroa,11
21,seed,11
87,queen,10
67,flower,9
9,pollen,8
29,imidacloprid,7
5,cell,7
69,visit,6
153,drone,6
86,pollin,6
77,larva,6
127,brood,5
54,per,5
39,venom,4
148,hive,4
82,kg1,4
130,danc,4
137,hygien,4
248,condit,4
16,odor,4
252,transfer,4
189,behaviour,3
208,male,3
92,reproduct,3
85,mg,3
106,african,3
264,egg,3
125,pheromon,3
214,sucros,3
159,mortal,3
170,olfactori,3
191,threshold,3
76,resist,3
196,jh,3
220,coloni,3
261,receiv,3
107,european,3
36,fruit,3
224,day,3
90,head,3
95,ovari,3
31,test,3
226,age,3
229,discrimin,3
207,row,2
42,magnet,2
154,p,2
