Id,Label,Weight
468,nonapi,2
244,vitellogenin,4
364,mirna,3
218,methyl,5
284,odour,2
106,strip,2
45,sperm,2
48,homozyg,2
208,melipona,2
102,run,2
211,nest,2
480,ethanol,2
63,eric,2
187,insemin,2
130,asia,2
242,192,4
224,vsh,2
193,honey,3
344,scout,2
272,qtl,2
448,oil,2
122,gut,2
441,skin,2
28,preval,2
262,antigen,2
451,bioactiv,2
205,line,2
100,drone,4
73,hive,2
155,swarm,2
113,robust,2
381,plutoniu,2
374,strawberri,2
164,reaction,2
70,venom,2
161,colour,2
282,winter,2
172,insulin,2
2,kangaroo,2
188,mite,2
243,132,4
27,bqcv,2
119,imidacloprid,2
404,cape,2
415,biogen,2
90,sige,2
317,drill,2
384,euglossa,2
181,insecticid,2
390,soil,2
