Id,Label,weight
apis mellifera,apis mellifera, 2912
honeybee,honeybee, 913
honey bee,honey bee, 762
honey bees,honey bees, 435
varroa destructor,varroa destructor, 409
pollination,pollination, 395
honeybees,honeybees, 279
honey,honey, 197
foraging,foraging, 194
pollen,pollen, 179
hymenoptera,hymenoptera, 164
propolis,propolis, 150
varroa jacobsoni,varroa jacobsoni, 147
apis cerana,apis cerana, 138
insect,insect, 137
bees,bees, 131
apis,apis, 125
royal jelly,royal jelly, 117
social insects,social insects, 113
nosema ceranae,nosema ceranae, 112
