Id,Label,Weight
140,immunoelectrophoresi,3
42,nurs,5
0,far,85
100,tea,4
106,behaviour,3
196,sugar,3
164,brood,8
52,queen,13
93,cell,4
86,cholesterol,3
153,pollen,6
98,suppli,3
1,crab,85
119,swarm,4
49,mite,3
91,granul,3
29,visit,3
84,sterol,11
131,reward,4
11,interneuron,3
44,repel,3
113,group,5
145,select,4
48,hormon,3
10,lneuron,3
74,comb,5
126,stalk,3
76,sound,3
8,nectar,9
138,related,3
136,social,4
26,jelli,3
149,estim,3
27,rear,3
103,allel,6
32,forag,5
2,milkwe,85
12,receptor,3
30,flower,11
94,sporoplasm,3
47,juvenil,3
121,frequenc,3
25,royal,3
107,worker,4
68,band,3
75,moth,5
92,iron,3
139,blood,3
95,cytoplasm,3
35,protein,7
