Id,Label,Weight
126,pollen,13
247,cerana,3
231,model,4
202,muscl,3
32,forag,15
21,mite,5
136,trial,3
52,coloni,6
300,swarm,4
63,larva,7
31,activ,3
26,hive,9
41,flower,10
195,venom,3
68,region,5
107,comb,3
42,fruit,3
72,nest,3
122,reproduct,3
35,viru,3
54,propoli,3
181,visit,7
117,bodi,4
149,valu,3
23,brood,8
12,danc,3
128,fed,3
201,select,3
220,odor,3
3,transposit,2
0,mstoll,2
78,similar,3
7,receptor,4
207,hygien,3
94,nectar,7
22,varroa,5
2,domain,2
112,worker,4
87,queen,11
43,pollin,6
111,perform,3
109,group,7
89,cell,6
253,floral,3
51,beekeep,3
292,pheromon,3
29,protein,10
19,gene,15
230,mushroom,3
110,signal,3
